"","groupName","activeTouch","timeStamp","C"
"219","A",0,"6/3/16 19:29",0
"220","A",0,"6/3/16 19:37",1
"221","A",1,"6/3/16 19:37",0
"222","A",0,"6/3/16 19:46",0
"223","B",0,"6/3/16 19:47",0
"224","B",1,"6/3/16 19:47",0
"225","A",0,"6/3/16 19:53",0
"226","A",0,"6/3/16 19:54",0
"227","A",0,"6/3/16 19:54",0
"228","B",0,"6/3/16 19:58",0
"229","B",0,"6/3/16 20:09",0
"230","B",0,"6/3/16 20:23",0
"231","A",0,"6/3/16 20:24",0
"232","B",0,"6/3/16 20:25",1
"233","A",0,"6/3/16 20:31",0
"234","B",0,"6/3/16 20:33",0
"235","B",0,"6/3/16 20:45",0
"236","A",0,"6/3/16 20:49",0
"237","A",0,"6/3/16 20:49",0
"238","B",0,"6/3/16 20:53",0
"239","A",0,"6/3/16 21:08",0
"240","A",0,"6/3/16 21:10",0
"241","B",0,"6/3/16 21:17",1
"242","B",0,"6/3/16 21:32",0
"243","B",0,"6/3/16 21:43",0
"244","A",0,"6/3/16 21:47",0
"245","B",0,"6/3/16 22:20",0
"246","A",0,"6/3/16 22:43",0
"247","B",0,"6/3/16 23:12",0
"248","B",0,"6/3/16 23:26",0
"249","B",0,"6/3/16 23:36",0
"250","B",0,"6/3/16 23:52",0
"251","B",0,"6/3/16 23:55",0
"252","B",0,"6/4/16 0:12",0
"253","B",0,"6/4/16 0:15",0
"254","A",0,"6/4/16 1:05",0
"255","A",0,"6/4/16 1:14",0
"256","B",0,"6/4/16 1:20",0
"257","B",0,"6/4/16 1:24",0
"258","A",0,"6/4/16 1:26",0
"259","B",0,"6/4/16 2:36",0
"260","B",0,"6/4/16 3:03",0
"261","B",0,"6/4/16 3:41",0
"262","A",0,"6/4/16 5:07",0
"263","A",0,"6/4/16 7:20",0
"264","B",0,"6/4/16 7:26",0
"265","A",0,"6/4/16 9:06",1
"266","A",0,"6/4/16 9:10",0
"267","B",0,"6/4/16 9:19",0
"268","B",0,"6/4/16 9:31",0
"269","B",0,"6/4/16 9:33",1
"270","B",1,"6/4/16 9:39",0
"271","B",1,"6/4/16 9:47",0
"272","B",0,"6/4/16 10:07",1
"273","A",0,"6/4/16 10:21",0
"274","A",0,"6/4/16 10:27",0
"275","B",0,"6/4/16 10:28",0
"276","B",0,"6/4/16 10:33",0
"277","B",0,"6/4/16 10:38",0
"278","A",0,"6/4/16 10:41",0
"279","A",0,"6/4/16 10:41",0
"280","B",0,"6/4/16 10:53",0
"281","B",0,"6/4/16 11:01",0
"282","A",0,"6/4/16 11:31",0
"283","A",0,"6/4/16 12:00",0
"284","B",0,"6/4/16 12:12",0
"285","B",0,"6/4/16 12:42",0
"286","A",0,"6/4/16 12:59",1
"287","B",0,"6/4/16 13:00",0
"288","B",0,"6/4/16 13:12",0
"289","B",0,"6/4/16 13:16",0
"290","A",0,"6/4/16 13:26",0
"291","B",0,"6/4/16 13:38",0
"292","B",0,"6/4/16 13:43",0
"293","B",0,"6/4/16 13:54",0
"294","A",0,"6/4/16 14:00",0
"295","B",0,"6/4/16 14:02",0
"296","A",0,"6/4/16 14:06",0
"297","B",1,"6/4/16 14:14",0
"298","B",0,"6/4/16 14:18",0
"299","A",0,"6/4/16 14:21",0
"300","A",0,"6/4/16 14:30",0
"301","A",0,"6/4/16 14:31",0
"302","B",0,"6/4/16 14:38",0
"303","B",0,"6/4/16 14:42",0
"304","A",0,"6/4/16 14:56",0
"305","A",0,"6/4/16 15:15",0
"306","B",0,"6/4/16 15:16",0
"307","B",0,"6/4/16 15:16",0
"308","B",0,"6/4/16 15:33",0
"309","B",0,"6/4/16 15:55",0
"310","A",0,"6/4/16 16:00",0
"311","B",0,"6/4/16 16:16",0
"312","B",0,"6/4/16 16:19",0
"313","A",0,"6/4/16 16:36",0
"314","B",0,"6/4/16 16:38",0
"315","B",0,"6/4/16 16:40",0
"316","B",0,"6/4/16 16:40",0
"317","A",0,"6/4/16 16:54",0
"318","B",0,"6/4/16 16:58",0
"319","A",0,"6/4/16 17:32",0
"320","B",0,"6/4/16 17:43",1
"321","B",1,"6/4/16 18:22",0
"322","B",0,"6/4/16 18:35",0
"323","B",0,"6/4/16 18:43",0
"324","B",0,"6/4/16 18:54",0
"325","A",0,"6/4/16 19:00",0
"326","A",0,"6/4/16 19:00",0
"327","A",0,"6/4/16 19:01",0
"328","A",0,"6/4/16 19:02",0
"329","A",0,"6/4/16 19:09",0
"330","A",0,"6/4/16 19:12",0
"331","A",0,"6/4/16 19:41",0
"332","B",0,"6/4/16 19:48",1
"333","A",0,"6/4/16 20:13",0
"334","A",0,"6/4/16 20:14",0
"335","B",0,"6/4/16 20:22",0
"336","B",0,"6/4/16 20:22",0
"337","A",1,"6/4/16 20:29",1
"338","A",0,"6/4/16 20:36",0
"339","B",0,"6/4/16 20:41",0
"340","B",1,"6/4/16 20:45",0
"341","A",1,"6/4/16 20:49",1
"342","A",0,"6/4/16 21:14",0
"343","A",0,"6/4/16 21:29",1
"344","A",0,"6/4/16 21:37",0
"345","B",0,"6/4/16 21:39",0
"346","B",0,"6/4/16 21:39",0
"347","B",0,"6/4/16 21:59",0
"348","B",0,"6/4/16 22:08",0
"349","B",0,"6/4/16 22:09",0
"350","B",0,"6/4/16 22:10",0
"351","A",0,"6/4/16 22:16",0
"352","A",0,"6/4/16 22:17",0
"353","B",0,"6/4/16 22:18",0
"354","B",0,"6/4/16 22:40",0
"355","A",0,"6/4/16 22:48",0
"356","A",0,"6/4/16 22:58",0
"357","A",0,"6/4/16 23:00",0
"358","A",0,"6/4/16 23:02",0
"359","A",0,"6/4/16 23:05",0
"360","B",0,"6/4/16 23:08",0
"361","A",0,"6/4/16 23:13",0
"362","A",0,"6/4/16 23:14",0
"363","A",0,"6/4/16 23:16",0
"364","A",0,"6/4/16 23:25",0
"365","A",0,"6/4/16 23:28",0
"366","A",0,"6/4/16 23:45",0
"367","A",0,"6/4/16 23:48",0
"368","B",1,"6/4/16 23:53",1
"369","B",1,"6/5/16 0:00",0
"370","B",0,"6/5/16 0:20",0
"371","A",0,"6/5/16 0:22",0
"372","B",0,"6/5/16 0:41",0
"373","A",1,"6/5/16 0:44",0
"374","B",0,"6/5/16 2:17",0
"375","A",0,"6/5/16 3:33",0
"376","A",0,"6/5/16 3:34",0
"377","A",0,"6/5/16 5:15",0
"378","A",0,"6/5/16 7:26",1
"379","B",0,"6/5/16 7:48",0
"380","A",0,"6/5/16 8:36",0
"381","A",0,"6/5/16 8:53",0
"382","A",0,"6/5/16 9:15",1
"383","B",0,"6/5/16 9:31",0
"384","B",0,"6/5/16 9:55",1
"385","A",0,"6/5/16 10:02",0
"386","B",0,"6/5/16 10:02",1
"387","B",0,"6/5/16 10:04",0
"388","A",0,"6/5/16 10:31",0
"389","A",0,"6/5/16 10:39",0
"390","B",0,"6/5/16 11:00",0
"391","A",0,"6/5/16 11:18",0
"392","B",0,"6/5/16 11:28",0
"393","B",0,"6/5/16 11:31",0
"394","B",0,"6/5/16 11:35",0
"395","B",0,"6/5/16 11:43",0
"396","A",0,"6/5/16 12:02",0
"397","B",0,"6/5/16 12:12",0
"398","B",0,"6/5/16 12:12",0
"399","A",0,"6/5/16 12:14",0
"400","A",0,"6/5/16 12:18",0
"401","B",0,"6/5/16 12:20",0
"402","B",0,"6/5/16 12:30",0
"403","A",0,"6/5/16 12:51",0
"404","B",0,"6/5/16 12:57",0
"405","B",0,"6/5/16 12:59",0
"406","B",0,"6/5/16 13:06",0
"407","A",0,"6/5/16 13:13",0
"408","A",0,"6/5/16 13:23",0
"409","B",0,"6/5/16 13:28",0
"410","A",0,"6/5/16 13:36",0
"411","B",0,"6/5/16 13:46",0
"412","B",0,"6/5/16 13:46",0
"413","A",0,"6/5/16 13:46",0
"414","B",0,"6/5/16 14:09",0
