"RegionID","Date","RegionName","State","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
394643,2019-02-28,"Great Bend, KS","KS",731,82800,0.0171990171990172,0.0260223048327138,0.0656370656370656,0.0404761088478571,,"2019-02","2019-Q1",82800,0,"2019-02"
753926,2019-02-28,"Weatherford, OK","OK",732,118900,-0.0124584717607973,-0.0230073952341824,0.106046511627907,0.0577452983748221,0.0358516393901773,"2018-11","2018-Q4",121700,-0.0230073952341824,"2018-06"
395154,2019-02-28,"Thomaston, GA","GA",733,72500,0,0.00554785020804438,0.0709010339734121,0.0467246184543451,0.00598552160213384,"2007-06","2007-Q2",80700,-0.101610904584882,"2007-01"
394892,2019-02-28,"Mountain Home, ID","ID",734,179400,0.00279485746226942,0.028080229226361,0.180263157894737,0.0564898197317569,0.0175855204645212,"2019-02","2019-Q1",179400,0,"2019-02"
394322,2019-02-28,"Altus, OK","OK",735,60700,-0.00491803278688525,0.0066334991708126,0.103636363636364,0.0403797001365238,0.015785790483928,"2019-01","2019-Q1",61000,-0.00491803278688525,"2019-01"
395181,2019-02-28,"Uvalde, TX","TX",736,114600,-0.00779220779220779,-0.0246808510638298,0.0342960288808664,0.0772376039928133,0.0427527099353342,"2018-09","2018-Q3",118700,-0.0345408593091828,"2018-06"
394401,2019-02-28,"Boone, IA","IA",737,142900,0,0,0.0491923641703377,0.0527711865286971,0.0330830906836024,"2019-02","2019-Q1",142900,0,"2019-02"
395159,2019-02-28,"Toccoa, GA","GA",738,108600,0.000921658986175115,0.00929368029739777,0.0936555891238671,0.0619761301649733,0.0104264665037384,"2019-02","2019-Q1",108600,0,"2019-02"
394470,2019-02-28,"Clarksdale, MS","MS",739,79200,0.0050761421319797,0.00763358778625954,-0.0822711471610661,0.0691248510693221,,"2017-08","2017-Q3",94700,-0.163674762407603,"2016-07"
395138,2019-02-28,"Summerville, GA","GA",740,81300,-0.00367647058823529,0.00246609124537608,0.110655737704918,0.0526596595134063,0.0140680814303189,"2007-07","2007-Q3",87400,-0.0697940503432494,"2007-01"
753909,2019-02-28,"Ottawa, KS","KS",741,110500,0.0063752276867031,0.0128322639780018,0.101694915254237,0.0661973087125989,0.0159797655206542,"2019-02","2019-Q1",110500,0,"2019-02"
394830,2019-02-28,"Marshall, MN","MN",742,139900,-0.00780141843971631,0.00143163922691482,0.115629984051037,0.0488834285651589,,"2018-12","2018-Q4",141100,-0.00850460666194188,"2018-12"
