RESPNUM,CCGID,BAREA,GATE,STRATA,CATEGORY,INTDATE,AIRLINE,FLIGHT,DEST,DESTGEO,DESTMARK,ARRTIME,DEPTIME,MINUTES,Q2PURP1,Q3GETTO1,Q3PARK,Q4BAGS,Q4BUY,Q4FOOD,Q5NOTBUY,Q6NOFOOD,Q7FLYPERYR,SAQ,Q8A_ART,Q8B_FOOD,Q8C_SHOP,Q8D_SIGNS,Q8E_WALK,Q8F_SCREENS,Q8G_INFOARR,Q8H_INFODEP,Q8I_ROAD,Q8J_PARK,Q8K_AIRTRAIN,Q8L_LTPARK,Q8M_RENTAL,Q8N_WHOLE,Q10A_CLNBOARD,Q10B_CLNPARK,Q10C_CLNAIRTRAIN,Q10D_CLNRENT,Q10E_CLNFOOD,Q10F_CLNBATH,Q11SAFE,Q12_USEWEB,Q13_RATEWEB,Q14WHEREDEPART,Q14RATEGETTO,Q15A_FIND,Q15B_SECURITY,Q16_PROBLEM,Q17REGION,Q18ZIP,Q18COUNTRY,HOME,Q19_AGE,Q20_SEX,Q21_INCOME,LANG
3731,1151,D,54,1,2,5,35,350,11,2,3,6:25,6:50,25,1,6,,0,1,1,1,2,2,2,4,4,4,5,5,5,5,5,6,6,6,6,6,5,5,6,5,6,5,5,5,1,4,5,5,5,5,2,3,22203-01-01T00:00:00,US,12,6,2,3,1
3732,1152,D,54,1,2,5,35,350,11,2,3,5:50,6:50,60,2,7,,1,2,1,2,2,2,2,5,4,3,5,4,4,6,6,6,6,6,6,6,4,5,6,6,6,5,5,5,2,,5,5,5,4,2,3,2216-01-01T00:00:00,US,12,5,2,2,1
3733,1153,D,54,1,2,5,35,350,11,2,3,5:45,6:50,65,1,8,,1,1,1,2,2,4,2,4,6,6,4,4,4,4,4,4,4,6,6,6,4,5,6,6,6,6,4,5,2,,5,5,5,3,2,1,94117-01-01T00:00:00,US,1,7,1,3,1
3734,1154,D,54,1,2,5,35,350,11,2,3,5:20,6:50,90,3,4,,1,0,1,2,2,4,2,5,4,4,3,5,5,6,6,4,4,5,6,6,4,5,5,6,6,5,5,5,2,,6,3,5,3,2,1,94403-01-01T00:00:00,US,2,6,2,4,1
3735,1155,D,54,1,2,5,35,350,11,2,3,5:10,6:50,100,2,9,,1,1,1,2,2,4,1,4,4,6,5,5,5,6,6,5,2,4,2,2,4,5,6,4,3,4,4,4,2,,9,5,5,5,2,1,95476-01-01T00:00:00,US,7,3,2,4,1
3736,1156,D,54,1,2,5,35,350,11,2,3,5:05,6:50,105,3,6,,1,1,2,2,2,2,1,6,6,4,4,6,4,6,6,6,6,6,6,6,4,4,6,6,6,4,4,5,2,,5,4,5,4,2,3,2351-01-01T00:00:00,US,12,5,1,0,1
3737,1157,D,54,1,2,5,35,350,11,2,3,5:20,6:50,90,1,6,,1,2,2,2,2,3,1,2,3,1,4,4,5,6,6,2,1,6,6,6,3,5,4,5,6,4,4,5,2,,3,5,5,1,1,1,94965-01-01T00:00:00,US,6,3,1,2,1
3738,3403,F,77,1,2,2,32,6425,24,3,4,6:00,7:53,113,1,1,2,2,2,1,2,2,5,2,5,4,4,2,3,4,3,3,4,3,4,6,2,3,4,4,4,4,4,4,5,1,4,24,3,3,4,2,2,93953-01-01T00:00:00,US,10,4,2,4,1
3739,3404,F,77,1,2,2,32,6425,24,3,4,6:30,7:53,83,1,3,,2,2,1,1,2,3,1,5,4,4,4,3,4,6,6,4,6,5,6,3,4,4,6,4,3,4,4,5,2,,11,4,4,6,2,4,95630-01-01T00:00:00,US,10,4,1,4,1
3740,3405,F,77,1,2,2,32,6425,24,3,4,6:30,7:53,83,1,4,,2,2,1,2,2,6,1,5,4,4,4,4,4,0,5,4,4,5,6,6,4,4,6,5,6,3,3,5,1,4,7,5,5,5,2,1,95116-01-01T00:00:00,US,4,3,1,0,1
3741,3406,F,77,1,2,2,32,6425,24,3,4,6:47,7:53,66,3,3,,2,2,2,2,2,1,1,6,6,6,5,6,5,6,6,6,6,6,6,6,3,4,6,6,6,6,6,4,2,,11,6,5,6,2,4,83616-01-01T00:00:00,US,10,6,1,3,1
3742,3407,F,77,1,2,2,32,6425,24,3,4,6:35,7:53,78,1,3,,2,2,1,2,2,6,1,5,4,4,5,5,5,5,5,3,4,5,6,4,5,5,5,5,5,4,5,5,2,,11,4,4,6,2,4,95356-01-01T00:00:00,US,10,6,1,3,1
3743,3408,F,77,1,2,2,32,6425,24,3,4,5:25,7:53,148,2,3,,2,1,1,2,2,2,1,6,4,0,3,5,4,6,6,6,6,6,6,6,5,5,6,6,6,5,4,5,2,,11,6,5,0,2,4,78956-01-01T00:00:00,US,11,7,0,2,1
3744,3409,F,77,1,2,2,32,6425,24,3,4,5:30,7:53,143,1,1,1,1,1,1,2,2,6,1,5,3,5,4,5,5,5,5,5,5,6,6,6,4,4,5,6,6,4,4,5,1,3,9,5,5,5,2,1,95409-01-01T00:00:00,US,7,3,2,4,1
3745,3410,F,77,1,2,2,32,6425,24,3,4,6:00,7:53,113,1,1,3,2,2,2,2,2,5,2,4,4,4,4,4,4,4,4,4,3,4,3,3,4,3,3,4,6,3,4,4,1,3,7,3,4,4,2,1,95123-01-01T00:00:00,US,4,5,1,0,1
3746,3411,F,77,1,2,2,32,6425,24,3,4,6:30,7:53,83,1,1,1,2,2,1,2,2,6,2,4,4,3,3,3,3,2,2,4,2,6,6,6,3,4,4,6,6,3,3,5,2,,3,3,5,5,2,1,94945-01-01T00:00:00,US,6,5,1,4,1
3747,3412,F,77,1,2,2,32,6425,24,3,4,6:45,7:53,68,1,3,,0,0,1,2,2,3,2,4,5,4,4,4,4,6,6,3,6,4,6,4,0,4,6,4,4,4,4,5,2,,11,0,5,6,2,4,80304-01-01T00:00:00,US,10,4,1,4,1
3748,3413,F,77,1,2,2,32,6425,24,3,4,7:00,7:53,53,1,1,1,2,1,1,2,2,6,2,4,3,3,3,4,3,3,3,4,3,3,6,3,4,3,3,3,3,3,3,4,2,,5,3,4,3,2,1,94103-01-01T00:00:00,US,1,5,1,4,1
3749,3414,F,77,1,2,2,32,6425,24,3,4,6:00,7:53,113,1,8,,2,1,1,2,2,3,2,2,3,3,4,4,2,6,6,6,6,6,3,6,3,3,6,6,6,3,3,5,2,,5,0,3,1,2,3,76177-01-01T00:00:00,US,11,3,1,4,1
3751,3416,F,77,1,2,2,32,6425,24,3,4,7:30,7:53,23,2,3,,2,2,2,2,2,3,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,,11,0,0,0,0,4,,US,10,6,1,1,1
3752,3390,B,24,1,1,2,8,303,86,1,3,7:45,10:10,145,3,1,3,2,2,1,2,2,2,1,5,6,6,5,5,5,6,6,5,4,6,5,6,5,4,4,6,6,4,5,5,2,,9,5,5,5,2,1,95407-01-01T00:00:00,US,7,6,1,1,1
3754,3392,B,24,1,1,2,8,303,86,1,3,8:00,10:10,130,1,5,,2,2,2,2,2,4,2,6,3,6,2,6,4,6,6,6,6,4,6,2,3,4,6,4,4,4,4,5,2,,5,4,1,2,2,3,98104-01-01T00:00:00,US,10,5,1,4,1
3755,3393,B,24,1,1,2,8,303,86,1,3,8:00,10:10,130,1,1,1,2,2,1,2,2,3,2,3,4,3,4,5,5,5,5,5,5,5,5,6,4,5,5,5,6,3,4,5,2,,3,5,5,4,2,1,94949-01-01T00:00:00,US,6,4,1,0,1
3756,3394,B,24,1,1,2,8,303,86,1,3,8:00,10:10,130,1,5,,1,1,1,2,2,3,2,5,2,4,4,4,4,4,4,6,6,4,6,4,4,5,6,5,5,4,6,5,2,,5,4,5,5,2,3,99610-01-01T00:00:00,US,10,5,1,4,1
